word_corrected,year,count,frequency,is_bad_word,word_length,genre
door,1990,22,0.0019344060494152818,0,4,rock
call,1990,21,0.0018464785017145871,0,4,rock
mother,1990,21,0.0018464785017145871,0,6,rock
light,1990,21,0.0018464785017145871,0,5,rock
rain,1990,21,0.0018464785017145871,0,4,rock
inside,1990,21,0.0018464785017145871,0,6,rock
country,1990,21,0.0018464785017145871,0,7,rock
pick,1990,21,0.0018464785017145871,0,4,rock
big,1990,21,0.0018464785017145871,0,3,rock
us,1990,21,0.0018464785017145871,0,2,rock
play,1990,21,0.0018464785017145871,0,4,rock
die,1990,21,0.0018464785017145871,0,3,rock
place,1990,20,0.0017585509540138926,0,5,rock
end,1990,20,0.0017585509540138926,0,3,rock
thought,1990,20,0.0017585509540138926,0,7,rock
cry,1990,20,0.0017585509540138926,0,3,rock
start,1990,20,0.0017585509540138926,0,5,rock
black,1990,20,0.0017585509540138926,0,5,rock
beauty,1990,20,0.0017585509540138926,0,6,rock
without,1990,19,0.001670623406313198,0,7,rock
free,1990,19,0.001670623406313198,0,4,rock
really,1990,19,0.001670623406313198,0,6,rock
send,1990,19,0.001670623406313198,0,4,rock
hear,1990,19,0.001670623406313198,0,4,rock
gone,1990,19,0.001670623406313198,0,4,rock
better,1990,19,0.001670623406313198,0,6,rock
money,1990,19,0.001670623406313198,0,5,rock
help,1990,18,0.0015826958586125032,0,4,rock
gutta,1990,18,0.0015826958586125032,0,5,rock
sky,1990,18,0.0015826958586125032,0,3,rock
to,1990,18,0.0015826958586125032,0,2,rock
left,1990,18,0.0015826958586125032,0,4,rock
life,1990,18,0.0015826958586125032,0,4,rock
friend,1990,18,0.0015826958586125032,0,6,rock
seem,1990,18,0.0015826958586125032,0,4,rock
wrong,1990,18,0.0015826958586125032,0,5,rock
river,1990,18,0.0015826958586125032,0,5,rock
dream,1990,18,0.0015826958586125032,0,5,rock
next,1990,18,0.0015826958586125032,0,4,rock
in,1990,17,0.0014947683109118087,0,2,rock
two,1990,17,0.0014947683109118087,0,3,rock
bad,1991,32,0.002011440065371802,0,3,rock
turn,1991,32,0.002011440065371802,0,4,rock
boy,1991,31,0.0019485825633289333,0,3,rock
meet,1991,31,0.0019485825633289333,0,4,rock
chorus,1991,31,0.0019485825633289333,0,6,rock
girl,1991,31,0.0019485825633289333,0,4,rock
pass,1991,31,0.0019485825633289333,0,4,rock
made,1991,30,0.0018857250612860645,0,4,rock
thought,1991,30,0.0018857250612860645,0,7,rock
sky,1991,30,0.0018857250612860645,0,3,rock
rebel,1991,29,0.0018228675592431957,0,5,rock
dead,1991,29,0.0018228675592431957,0,4,rock
lose,1991,29,0.0018228675592431957,0,4,rock
bid,1991,29,0.0018228675592431957,0,3,rock
un,1991,29,0.0018228675592431957,0,2,rock
heaven,1991,28,0.001760010057200327,0,6,rock
much,1991,28,0.001760010057200327,0,4,rock
call,1991,28,0.001760010057200327,0,4,rock
money,1991,28,0.001760010057200327,0,5,rock
learn,1991,28,0.001760010057200327,0,5,rock
sometime,1991,28,0.001760010057200327,0,8,rock
start,1991,27,0.0016971525551574581,0,5,rock
sad,1991,27,0.0016971525551574581,0,3,rock
change,1991,27,0.0016971525551574581,0,6,rock
a,1991,27,0.0016971525551574581,0,1,rock
evil,1991,27,0.0016971525551574581,0,4,rock
last,1991,27,0.0016971525551574581,0,4,rock
must,1991,27,0.0016971525551574581,0,4,rock
before,1991,26,0.0016342950531145891,0,6,rock
move,1991,26,0.0016342950531145891,0,4,rock
without,1991,26,0.0016342950531145891,0,7,rock
mean,1991,25,0.0015714375510717203,0,4,rock
kind,1991,25,0.0015714375510717203,0,4,rock
hear,1991,25,0.0015714375510717203,0,4,rock
end,1991,25,0.0015714375510717203,0,3,rock
work,1991,25,0.0015714375510717203,0,4,rock
die,1991,25,0.0015714375510717203,0,3,rock
il,1991,25,0.0015714375510717203,0,2,rock
lot,1991,24,0.0015085800490288515,0,3,rock
red,1991,24,0.0015085800490288515,0,3,rock
light,1991,24,0.0015085800490288515,0,5,rock
